numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
101, 962, 1128, 577, 524
101, 738, 18, 1040, 22
101, 1628, 27, 1082, 22
101, 640, 14, 345, 25
101, 796, 23, 706, 27
101, 1023, 74, 656, 33
101, 872, 21, 316, 29
101, 882, 14, 404, 32
101, 1082, 120, 596, 20
101, 607, 35, 290, 40
101, 1404, 20, 276, 23
101, 789, 23, 317, 19
101, 1287, 22, 626, 116
101, 885, 40, 316, 19
101, 891, 17, 371, 33
101, 720, 19, 693, 38
101, 999, 71, 670, 31
101, 809, 27, 320, 42
101, 1013, 12, 508, 20
101, 1093, 13, 879, 21
101, 937, 31, 332, 64
101, 1425, 95, 321, 33
101, 766, 28, 485, 28
101, 1065, 15, 862, 23
101, 815, 27, 443, 142
101, 1488, 21, 419, 31
101, 1050, 78, 619, 67
101, 739, 16, 414, 19
101, 1504, 21, 879, 23
101, 1370, 15, 351, 76
101, 1364, 28, 295, 26
101, 1118, 15, 743, 118
101, 565, 13, 267, 22
101, 673, 13, 293, 35
101, 633, 14, 603, 23
101, 771, 67, 607, 19
101, 1453, 115, 412, 19
101, 605, 32, 327, 30
101, 859, 100, 513, 31
101, 1397, 120, 487, 22
101, 555, 47, 325, 25
101, 848, 30, 494, 24
101, 1065, 26, 891, 20
101, 791, 43, 331, 76
101, 1803, 115, 959, 20
101, 1170, 19, 377, 30
101, 1257, 129, 908, 84
101, 1090, 18, 363, 25
101, 938, 120, 1062, 23
101, 1161, 32, 345, 40
101, 742, 24, 372, 21
101, 1217, 133, 621, 93
101, 1009, 14, 346, 27
101, 1768, 128, 937, 21
101, 1306, 17, 359, 22
101, 1708, 132, 913, 17
101, 1168, 40, 296, 60
101, 1398, 44, 349, 28
101, 718, 22, 414, 29
101, 858, 86, 737, 127
101, 1053, 34, 348, 69
101, 1284, 24, 866, 121
101, 1191, 17, 366, 33
101, 889, 28, 306, 30
101, 739, 20, 714, 22
101, 976, 117, 711, 25
101, 781, 12, 531, 128
101, 1526, 28, 962, 28
101, 866, 12, 534, 147
101, 1254, 19, 615, 132
101, 1331, 19, 547, 18
101, 564, 21, 364, 17
101, 751, 15, 419, 26
101, 822, 110, 768, 78
101, 1129, 16, 310, 32
101, 786, 13, 429, 47
101, 993, 15, 695, 23
101, 563, 14, 313, 18
101, 1047, 17, 487, 31
101, 1012, 21, 625, 120
101, 753, 15, 330, 21
101, 687, 117, 1189, 28
101, 985, 15, 352, 27
101, 877, 114, 1134, 22
