numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
101, 2992, 4627, 687, 236
101, 3145, 19, 250, 52
101, 5084, 40, 87, 24
101, 2970, 15, 93, 2
101, 4573, 113, 276, 4
101, 3591, 14, 82, 2
101, 2901, 26, 259, 4
101, 4227, 27, 92, 36
101, 3877, 49, 630, 38
101, 6103, 49, 80, 4
101, 4138, 105, 223, 3
101, 2964, 15, 76, 4
101, 3974, 12, 108, 20
101, 3172, 29, 101, 16
101, 4330, 15, 568, 43
101, 4215, 131, 181, 43
101, 6432, 94, 659, 41
101, 4863, 38, 148, 3
101, 3551, 15, 114, 22
101, 3484, 25, 353, 49
101, 4565, 11, 146, 3
101, 4411, 17, 543, 33
101, 5166, 20, 627, 38
101, 5128, 13, 131, 16
101, 3508, 20, 108, 2
101, 3489, 108, 248, 4
101, 2913, 49, 336, 3
101, 4984, 22, 315, 3
101, 4454, 40, 177, 20
101, 5183, 113, 507, 49
101, 5397, 21, 332, 34
101, 4371, 51, 176, 3
101, 6446, 123, 483, 3
101, 5866, 121, 686, 20
101, 4751, 19, 263, 3
101, 4417, 117, 79, 5
101, 3253, 18, 188, 21
101, 6535, 17, 360, 50
101, 3555, 24, 166, 2
101, 4243, 125, 637, 2
101, 5138, 21, 144, 3
101, 4486, 20, 165, 2
101, 4450, 109, 133, 3
101, 5208, 16, 320, 47
101, 5323, 102, 68, 4
101, 4533, 17, 131, 93
101, 5132, 118, 656, 3
101, 5431, 107, 234, 4
101, 2993, 20, 480, 36
