numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
11, 160, 167, 330, 1881
11, 194, 256, 552, 158
11, 41, 43, 326, 311
11, 48, 522, 1874, 812
11, 44, 130, 561, 322
11, 64, 60, 130, 135
11, 69, 77, 123, 333
11, 66, 527, 179, 393
11, 535, 75, 367, 134
11, 103, 90, 149, 266
11, 244, 406, 495, 375
11, 221, 674, 142, 101
11, 93, 112, 42, 98
11, 253, 474, 113, 83
11, 786, 445, 702, 177
11, 280, 121, 127, 207
11, 536, 2021, 495, 443
11, 580, 351, 86, 92
11, 154, 338, 258, 327
11, 743, 868, 1368, 231
