numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 996, 2487, 140, 150
51, 2139, 12, 782, 105
51, 2197, 56, 614, 16
51, 2441, 4, 334, 139
51, 3660, 8, 160, 13
51, 1477, 43, 327, 12
51, 1706, 23, 194, 18
51, 1447, 5, 343, 40
51, 1892, 5, 251, 35
51, 3521, 3, 157, 9
51, 3048, 48, 468, 20
51, 2323, 52, 841, 14
51, 3567, 12, 397, 14
51, 3595, 47, 436, 11
51, 2181, 42, 859, 39
51, 2593, 11, 1149, 133
51, 2919, 5, 218, 13
51, 2965, 42, 552, 14
51, 1969, 7, 862, 326
51, 2626, 6, 410, 14
51, 4050, 6, 182, 12
51, 2640, 6, 625, 128
51, 1760, 6, 617, 10
51, 2473, 10, 145, 10
51, 3283, 41, 353, 21
51, 2446, 5, 579, 100
51, 2344, 4, 832, 108
51, 3115, 7, 252, 16
51, 3424, 42, 628, 13
51, 1912, 36, 727, 12
51, 3859, 5, 305, 21
51, 3290, 6, 149, 35
51, 2277, 50, 657, 10
51, 1573, 6, 182, 10
51, 2395, 6, 226, 11
51, 2784, 53, 578, 11
51, 1983, 47, 424, 122
51, 1901, 3, 215, 18
51, 1654, 5, 244, 108
51, 1382, 41, 613, 102
51, 2292, 3, 168, 9
51, 1506, 4, 406, 11
51, 1206, 16, 305, 9
51, 1403, 43, 365, 12
51, 1258, 5, 237, 13
51, 1930, 4, 150, 10
51, 1271, 3, 317, 65
51, 1622, 5, 208, 68
51, 3333, 44, 433, 14
51, 2242, 48, 428, 110
51, 2068, 23, 397, 115
51, 2944, 6, 164, 28
51, 2700, 4, 323, 117
51, 1884, 4, 568, 49
51, 2171, 7, 279, 31
51, 3253, 4, 165, 10
51, 2134, 46, 738, 9
51, 1686, 4, 597, 112
51, 2625, 18, 191, 13
51, 2966, 56, 612, 17
51, 1950, 50, 435, 125
51, 2008, 7, 374, 102
51, 2975, 5, 171, 21
51, 2692, 7, 623, 90
51, 1815, 6, 530, 68
51, 3880, 8, 498, 104
51, 3163, 52, 462, 40
51, 2095, 9, 771, 99
51, 1640, 5, 598, 17
51, 2808, 5, 187, 12
51, 2172, 346, 638, 8
51, 1229, 4, 317, 13
51, 2922, 10, 167, 28
51, 1200, 5, 186, 11
51, 2371, 4, 307, 92
51, 3223, 6, 826, 12
51, 1882, 6, 188, 16
51, 1597, 5, 295, 10
51, 1250, 44, 685, 100
51, 2343, 3, 310, 11
51, 3246, 8, 318, 12
51, 2131, 51, 801, 9
51, 1791, 7, 572, 16
51, 2794, 4, 201, 11
