numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 43, 44, 719, 948
51, 47, 41, 380, 523
51, 265, 236, 1169, 895
51, 66, 236, 876, 448
51, 146, 91, 533, 611
51, 216, 358, 852, 725
51, 370, 420, 328, 303
51, 117, 110, 501, 568
51, 199, 117, 241, 254
51, 91, 331, 520, 229
51, 156, 138, 324, 403
51, 146, 257, 517, 834
51, 86, 124, 272, 336
51, 458, 618, 740, 882
51, 355, 609, 168, 227
51, 175, 324, 555, 604
51, 626, 427, 1117, 341
51, 232, 448, 897, 1076
51, 654, 623, 395, 267
51, 279, 669, 559, 862
51, 752, 856, 191, 225
51, 356, 744, 658, 556
51, 1000, 872, 235, 318
51, 295, 534, 253, 326
51, 459, 566, 672, 194
51, 310, 543, 846, 644
51, 947, 1118, 162, 120
51, 325, 1715, 772, 292
51, 952, 2433, 477, 329
51, 726, 461, 285, 314
51, 762, 859, 268, 260
51, 759, 433, 448, 751
51, 581, 392, 386, 826
51, 987, 1231, 622, 297
51, 432, 563, 317, 179
51, 768, 926, 188, 192
51, 439, 512, 316, 381
51, 1085, 918, 262, 303
51, 623, 1674, 573, 480
51, 453, 982, 667, 805
51, 1228, 536, 171, 142
51, 684, 904, 214, 495
51, 1010, 490, 276, 273
51, 772, 924, 439, 656
51, 796, 509, 225, 242
51, 851, 1358, 320, 576
51, 504, 1345, 341, 714
51, 1274, 1870, 172, 184
51, 642, 1553, 428, 502
51, 671, 1863, 724, 474
