numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
101, 85, 48, 760, 997
101, 72, 116, 895, 441
101, 71, 19, 488, 460
101, 61, 18, 767, 550
101, 119, 15, 605, 864
101, 46, 19, 736, 468
101, 63, 13, 545, 1156
101, 68, 125, 1202, 1281
101, 46, 17, 486, 535
101, 111, 26, 1125, 1142
101, 254, 154, 1087, 474
101, 57, 28, 534, 1044
101, 67, 32, 461, 435
101, 54, 28, 826, 1023
101, 67, 43, 525, 466
101, 34, 36, 860, 483
101, 68, 23, 445, 986
101, 86, 58, 986, 614
101, 161, 28, 616, 960
101, 41, 20, 968, 443
101, 60, 34, 535, 658
101, 57, 25, 585, 864
101, 61, 25, 889, 736
101, 53, 15, 467, 565
101, 120, 18, 1098, 1315
101, 266, 16, 1130, 448
101, 62, 63, 458, 866
101, 137, 71, 576, 530
101, 56, 26, 439, 823
101, 52, 25, 733, 778
101, 56, 26, 986, 436
101, 59, 29, 447, 839
101, 145, 72, 582, 582
101, 51, 27, 467, 853
101, 55, 28, 767, 780
101, 66, 31, 996, 453
101, 82, 20, 712, 1084
101, 89, 125, 1291, 1060
101, 40, 15, 436, 632
101, 45, 17, 1309, 1191
101, 165, 17, 533, 489
101, 49, 43, 754, 794
101, 74, 16, 512, 545
101, 56, 16, 554, 435
101, 66, 17, 812, 619
101, 55, 29, 880, 1030
101, 40, 18, 412, 385
101, 48, 19, 462, 552
101, 43, 27, 1168, 1123
