numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 152, 120, 1504, 1227
51, 451, 112, 649, 433
51, 168, 166, 509, 443
51, 193, 199, 837, 547
51, 408, 252, 526, 441
51, 418, 380, 585, 822
51, 285, 261, 427, 398
51, 328, 582, 568, 369
51, 339, 395, 329, 393
51, 319, 353, 838, 566
51, 228, 238, 522, 944
51, 1050, 857, 769, 569
51, 728, 354, 289, 418
51, 952, 695, 437, 269
51, 655, 462, 498, 792
51, 874, 635, 537, 435
51, 358, 398, 425, 397
51, 587, 639, 1093, 382
51, 398, 439, 509, 381
51, 755, 628, 659, 567
51, 333, 410, 432, 515
51, 1333, 1026, 1072, 509
51, 432, 470, 836, 534
51, 945, 859, 770, 688
51, 511, 500, 416, 952
51, 780, 1073, 2171, 694
51, 726, 461, 805, 898
51, 880, 942, 662, 1068
51, 357, 680, 872, 759
51, 2128, 1371, 839, 862
51, 1214, 1060, 871, 441
51, 811, 2172, 503, 896
51, 984, 430, 353, 570
51, 2110, 604, 590, 513
51, 835, 720, 488, 708
51, 508, 424, 413, 394
51, 811, 1324, 976, 749
51, 465, 474, 270, 497
51, 777, 860, 1820, 531
51, 619, 655, 654, 255
51, 419, 540, 261, 349
51, 453, 710, 803, 648
51, 1896, 1110, 682, 703
51, 1179, 489, 295, 373
51, 1961, 317, 350, 248
51, 1000, 632, 175, 129
51, 509, 1095, 364, 707
51, 2129, 733, 237, 247
51, 769, 891, 1781, 344
51, 1333, 860, 182, 273
