numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 241, 77, 353, 382
51, 85, 29, 599, 22
51, 74, 70, 492, 512
51, 254, 13, 885, 113
51, 70, 89, 390, 329
51, 89, 18, 596, 11
51, 369, 173, 905, 719
51, 470, 103, 555, 74
51, 105, 122, 354, 518
51, 154, 29, 335, 15
51, 107, 99, 350, 931
51, 104, 17, 985, 16
51, 214, 100, 288, 297
51, 260, 17, 654, 122
51, 296, 309, 678, 929
51, 73, 21, 462, 19
51, 178, 178, 385, 673
51, 498, 115, 1071, 47
51, 134, 713, 281, 371
51, 161, 34, 526, 48
51, 311, 319, 857, 2138
51, 115, 116, 315, 5
51, 294, 548, 2096, 551
51, 869, 14, 728, 34
51, 181, 186, 268, 228
51, 243, 38, 595, 104
51, 615, 908, 220, 544
51, 160, 16, 180, 52
51, 222, 336, 1029, 905
51, 364, 12, 963, 19
51, 208, 226, 334, 664
51, 527, 12, 342, 14
51, 240, 440, 711, 261
51, 229, 36, 252, 32
51, 443, 786, 717, 600
51, 982, 11, 383, 11
51, 302, 263, 295, 321
51, 810, 17, 536, 114
51, 1006, 246, 244, 265
51, 569, 118, 691, 11
51, 891, 937, 312, 285
51, 287, 26, 373, 52
51, 614, 476, 546, 508
51, 451, 16, 254, 38
51, 302, 396, 531, 343
51, 590, 26, 435, 5
51, 502, 310, 244, 202
51, 357, 16, 678, 112
51, 1039, 1029, 322, 577
51, 286, 12, 166, 11
