numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
11, 80, 219, 151, 151
11, 150, 7, 410, 2
11, 187, 30, 634, 44
11, 609, 44, 259, 2
11, 542, 44, 272, 4
11, 74, 2, 156, 1
11, 59, 2, 153, 2
11, 114, 3, 300, 42
11, 105, 7, 131, 2
11, 258, 42, 428, 2
11, 248, 53, 583, 1
11, 63, 3, 138, 2
11, 86, 2, 150, 20
11, 264, 46, 595, 34
11, 237, 3, 788, 1
11, 104, 49, 822, 5
11, 83, 3, 129, 2
11, 73, 20, 143, 2
11, 229, 82, 318, 1
11, 534, 3, 581, 45
11, 256, 3, 752, 40
11, 245, 2, 148, 2
11, 63, 6, 162, 1
11, 161, 2, 488, 43
11, 332, 47, 513, 3
11, 341, 50, 607, 3
11, 286, 52, 385, 3
11, 69, 2, 149, 1
11, 75, 2, 146, 8
11, 82, 2, 605, 6
11, 90, 3, 327, 48
11, 485, 3, 126, 2
11, 59, 2, 157, 2
11, 66, 2, 157, 1
11, 64, 2, 573, 1
11, 119, 4, 266, 1
11, 68, 2, 612, 2
11, 83, 4, 166, 1
11, 69, 2, 258, 1
11, 164, 51, 645, 4
11, 556, 3, 354, 3
11, 424, 48, 435, 4
11, 70, 2, 161, 2
11, 66, 2, 207, 3
11, 94, 5, 475, 2
11, 330, 38, 509, 4
11, 306, 51, 462, 3
11, 80, 2, 147, 1
11, 71, 3, 152, 2
11, 106, 3, 190, 1
