numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
101, 65, 112, 888, 485
101, 93, 35, 710, 31
101, 136, 264, 601, 736
101, 103, 69, 889, 15
101, 125, 291, 479, 369
101, 114, 32, 846, 106
101, 114, 305, 723, 437
101, 141, 21, 492, 13
101, 143, 305, 660, 864
101, 507, 44, 341, 10
101, 134, 112, 399, 399
101, 267, 16, 680, 13
101, 186, 219, 364, 434
101, 420, 105, 444, 20
101, 127, 73, 358, 336
101, 187, 66, 757, 121
101, 481, 705, 1052, 461
101, 159, 49, 576, 17
101, 221, 524, 1259, 1174
101, 175, 19, 401, 23
101, 189, 204, 634, 1008
101, 340, 125, 731, 20
101, 248, 247, 410, 539
101, 510, 120, 1071, 97
101, 438, 622, 215, 245
101, 243, 13, 246, 10
101, 220, 444, 301, 375
101, 231, 33, 235, 25
101, 398, 374, 975, 844
101, 210, 51, 373, 57
101, 714, 537, 384, 478
101, 258, 17, 478, 16
101, 273, 278, 443, 294
101, 684, 13, 965, 10
101, 509, 233, 355, 555
101, 571, 39, 1081, 103
101, 820, 558, 277, 311
101, 656, 50, 540, 14
101, 634, 1030, 450, 251
101, 284, 32, 289, 21
101, 468, 394, 528, 613
101, 420, 22, 847, 10
101, 816, 236, 362, 327
101, 510, 110, 600, 15
101, 598, 322, 564, 278
101, 311, 15, 275, 12
101, 353, 661, 386, 443
101, 616, 32, 407, 14
101, 396, 275, 198, 241
101, 828, 82, 530, 96
101, 1134, 954, 331, 168
101, 405, 83, 484, 133
