numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 499, 196, 1316, 739
51, 108, 92, 665, 882
51, 101, 58, 1820, 3200
51, 283, 97, 2267, 1728
51, 99, 71, 856, 2737
51, 293, 366, 1963, 2903
51, 246, 128, 3371, 1265
51, 223, 104, 1509, 1276
51, 212, 206, 2280, 1106
51, 181, 177, 1270, 1186
51, 313, 105, 1571, 740
51, 260, 48, 776, 809
51, 104, 58, 1340, 1088
51, 96, 63, 448, 504
51, 170, 53, 1393, 2240
51, 710, 51, 1578, 1764
51, 413, 211, 1411, 794
51, 134, 105, 1036, 1286
51, 167, 88, 946, 845
51, 319, 111, 2073, 434
51, 92, 51, 666, 782
51, 149, 47, 528, 858
51, 121, 95, 857, 520
51, 94, 33, 618, 980
51, 100, 58, 1791, 745
51, 235, 178, 854, 719
51, 97, 105, 935, 1910
51, 299, 82, 1045, 690
51, 351, 90, 753, 731
51, 81, 39, 693, 811
51, 150, 168, 1159, 745
51, 112, 48, 586, 748
51, 254, 215, 1863, 1368
51, 135, 93, 2102, 829
51, 79, 75, 576, 1087
51, 172, 71, 1185, 511
51, 100, 86, 2618, 856
51, 197, 86, 401, 970
51, 103, 81, 1375, 1083
51, 86, 47, 587, 687
51, 164, 78, 1201, 2241
51, 98, 155, 615, 954
51, 147, 259, 843, 780
51, 89, 63, 664, 461
51, 107, 75, 455, 940
51, 131, 101, 803, 590
51, 167, 78, 2302, 537
51, 105, 38, 2525, 1568
51, 564, 171, 847, 437
51, 283, 115, 522, 773
