numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 133, 96, 1161, 1010
51, 55, 26, 484, 597
51, 95, 50, 457, 669
51, 80, 47, 484, 641
51, 77, 55, 621, 477
51, 182, 105, 766, 608
51, 87, 26, 470, 917
51, 284, 283, 2215, 1240
51, 59, 25, 2471, 403
51, 71, 45, 518, 788
51, 216, 73, 679, 434
51, 77, 38, 557, 390
51, 73, 45, 649, 703
51, 214, 136, 651, 577
51, 129, 302, 1515, 348
51, 51, 55, 379, 457
51, 87, 79, 579, 775
51, 77, 34, 889, 679
51, 62, 27, 510, 765
51, 95, 27, 594, 610
51, 114, 225, 703, 430
51, 56, 23, 455, 433
51, 298, 46, 777, 489
51, 46, 42, 415, 848
51, 84, 59, 996, 415
51, 57, 24, 397, 433
51, 84, 44, 555, 1363
51, 999, 110, 834, 487
51, 80, 59, 724, 429
51, 77, 32, 577, 453
51, 87, 97, 431, 438
51, 128, 50, 407, 518
51, 116, 54, 419, 763
51, 74, 44, 1045, 619
51, 265, 82, 443, 361
51, 60, 58, 355, 491
51, 49, 20, 674, 440
51, 56, 108, 456, 611
51, 94, 52, 715, 638
51, 144, 112, 915, 1002
51, 96, 26, 472, 455
51, 61, 47, 2253, 587
51, 111, 18, 395, 478
51, 132, 20, 360, 520
51, 179, 156, 775, 771
51, 73, 20, 668, 497
51, 98, 62, 385, 596
51, 234, 155, 945, 830
51, 55, 21, 403, 530
51, 73, 34, 930, 915
