numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 2032, 279, 986, 703
51, 89, 45, 673, 2349
51, 413, 390, 2080, 434
51, 88, 51, 625, 1005
51, 185, 343, 1680, 1399
51, 85, 70, 889, 864
51, 317, 312, 1460, 1393
51, 194, 270, 1424, 1228
51, 134, 129, 438, 515
51, 92, 46, 530, 419
51, 94, 109, 542, 403
51, 90, 45, 923, 1065
51, 311, 79, 777, 438
51, 77, 50, 466, 833
51, 121, 129, 851, 589
51, 366, 103, 777, 617
51, 116, 164, 710, 1208
51, 89, 61, 1045, 662
51, 153, 119, 804, 900
51, 314, 69, 579, 424
51, 123, 105, 1049, 1230
51, 137, 27, 437, 649
51, 123, 99, 1412, 1585
51, 184, 2185, 1602, 1428
51, 1058, 126, 788, 853
51, 219, 61, 1163, 596
51, 99, 110, 1017, 1392
51, 120, 86, 1689, 719
51, 136, 134, 573, 640
51, 263, 201, 779, 499
51, 118, 109, 521, 740
51, 1701, 184, 1256, 575
51, 136, 145, 654, 743
51, 137, 76, 617, 838
51, 95, 239, 1004, 566
51, 146, 68, 673, 1347
51, 400, 538, 1184, 574
51, 174, 175, 1015, 824
51, 130, 103, 590, 785
51, 51, 20, 385, 940
51, 142, 81, 1580, 1175
51, 104, 43, 690, 1015
51, 309, 369, 1413, 1606
51, 371, 82, 1545, 851
51, 312, 1787, 1205, 788
51, 243, 66, 814, 598
51, 413, 285, 1095, 968
51, 255, 46, 1079, 560
51, 130, 98, 638, 462
51, 395, 84, 4042, 470
