numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 639, 1005, 178, 145
51, 2310, 21, 254, 98
51, 960, 48, 417, 27
51, 950, 21, 161, 38
51, 521, 16, 170, 40
51, 874, 21, 481, 92
51, 465, 14, 197, 63
51, 651, 20, 185, 30
51, 912, 23, 321, 41
51, 583, 21, 316, 28
51, 576, 21, 527, 69
51, 450, 19, 179, 38
51, 616, 97, 360, 27
51, 1149, 61, 722, 78
51, 595, 22, 154, 29
51, 760, 173, 1009, 27
51, 561, 20, 249, 48
51, 1180, 64, 431, 83
51, 787, 16, 410, 36
51, 900, 43, 221, 100
51, 803, 18, 1703, 29
51, 761, 18, 166, 25
51, 478, 18, 153, 23
51, 719, 25, 368, 27
51, 809, 19, 283, 21
51, 1007, 41, 174, 31
51, 509, 21, 145, 28
51, 488, 18, 186, 23
51, 650, 17, 1933, 137
51, 621, 19, 191, 21
51, 925, 40, 152, 134
51, 888, 22, 220, 30
51, 513, 23, 185, 48
51, 734, 22, 409, 32
51, 700, 54, 621, 30
51, 962, 20, 175, 29
51, 699, 29, 371, 141
51, 1223, 18, 362, 53
51, 844, 80, 373, 34
51, 2405, 20, 131, 95
51, 1092, 22, 155, 25
51, 428, 28, 149, 33
51, 420, 21, 165, 30
51, 562, 29, 195, 51
51, 920, 23, 504, 32
51, 714, 62, 211, 44
51, 659, 20, 458, 89
51, 654, 22, 150, 29
51, 489, 17, 151, 23
51, 719, 32, 1471, 454
