numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 34, 61, 502, 863
51, 256, 118, 926, 957
51, 168, 10, 376, 392
51, 33, 14, 523, 1056
51, 197, 19, 924, 870
51, 236, 122, 321, 358
51, 35, 28, 352, 416
51, 53, 11, 338, 723
51, 66, 27, 480, 484
51, 191, 107, 695, 521
51, 30, 13, 351, 329
51, 38, 16, 792, 843
51, 49, 113, 1891, 366
51, 40, 29, 497, 783
51, 247, 107, 1042, 882
51, 124, 10, 350, 386
51, 52, 11, 676, 687
51, 180, 42, 386, 442
51, 43, 16, 374, 424
51, 66, 13, 348, 419
51, 46, 13, 336, 711
51, 46, 18, 862, 939
51, 41, 18, 350, 449
51, 86, 33, 957, 931
51, 224, 122, 944, 641
51, 36, 13, 361, 398
51, 41, 38, 383, 647
51, 52, 11, 422, 386
51, 45, 30, 500, 425
51, 55, 14, 663, 746
51, 134, 10, 962, 407
51, 49, 14, 378, 497
51, 65, 12, 1103, 934
51, 50, 18, 1018, 444
51, 57, 12, 408, 431
51, 89, 104, 1000, 1060
51, 247, 107, 572, 546
51, 55, 11, 467, 515
51, 256, 101, 785, 994
51, 290, 110, 613, 409
51, 50, 20, 452, 798
51, 117, 27, 860, 377
51, 107, 11, 390, 589
51, 40, 77, 866, 645
51, 67, 13, 358, 335
51, 61, 14, 605, 1837
51, 35, 34, 402, 704
51, 47, 30, 492, 516
51, 73, 59, 645, 824
51, 42, 25, 423, 342
